q_id,q_tag,question,options,advice,diagnosis,lab_tests,red_flags,precautions,otc_medication
117,DIAGNOSIS,Diagnosis: Flu (Influenza),[],['Rest and hydration'],"{'description': 'Viral infection causing fever, cough, and body aches.', 'diagnosis_title': 'Flu (Influenza)'}",['Rapid flu test'],['Severe fatigue'],['Annual flu vaccine'],['Acetaminophen']
118,DIAGNOSIS,Diagnosis: GERD,[],['Elevate head while sleeping'],"{'description': 'Acid reflux causing cough, especially at night.', 'diagnosis_title': 'GERD'}",['pH monitoring'],['Severe chest pain'],['Avoid spicy foods'],['Antacids']
119,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
120,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
1,NEW,What is your gender?,"[{'next_q_id': 2, 'opt_value': 'Male', 'option_id': 1}, {'next_q_id': 2, 'opt_value': 'Female', 'option_id': 2}]",,,,,,
2,NEW,What is your age category?,"[{'next_q_id': 27, 'opt_value': '0-2 years (Infant/Toddler)', 'option_id': 1}, {'next_q_id': 27, 'opt_value': '3-12 years (Child)', 'option_id': 2}, {'next_q_id': 27, 'opt_value': '13-18 years (Adolescent)', 'option_id': 3}, {'next_q_id': 27, 'opt_value': '19-40 years (Young Adult)', 'option_id': 4}, {'next_q_id': 27, 'opt_value': '41-65 years (Middle-aged Adult)', 'option_id': 5}, {'next_q_id': 27, 'opt_value': '66+ years (Senior)', 'option_id': 6}]",,,,,,
27,NEW,Does the teenager have a persistent cough?,"[{'next_q_id': 28, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 39, 'opt_value': 'No', 'option_id': 2}]",,,,,,
28,NEW,Is the cough accompanied by shortness of breath?,"[{'next_q_id': 115, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 29, 'opt_value': 'No', 'option_id': 2}]",,,,,,
29,NEW,Does the teenager have a fever along with the cough?,"[{'next_q_id': 117, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 30, 'opt_value': 'No', 'option_id': 2}]",,,,,,
30,NEW,Does the cough produce mucus or phlegm?,"[{'next_q_id': 116, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 31, 'opt_value': 'No', 'option_id': 2}]",,,,,,
31,NEW,Does the teenager smoke or vape?,"[{'next_q_id': 118, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 32, 'opt_value': 'No', 'option_id': 2}]",,,,,,
32,NEW,Does the teenager have chest pain while coughing?,"[{'next_q_id': 118, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 33, 'opt_value': 'No', 'option_id': 2}]",,,,,,
33,NEW,Is the cough triggered by exercise or cold air?,"[{'next_q_id': 115, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 34, 'opt_value': 'No', 'option_id': 2}]",,,,,,
34,NEW,Does the teenager have a history of asthma or bronchitis?,"[{'next_q_id': 115, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 35, 'opt_value': 'No', 'option_id': 2}]",,,,,,
35,NEW,Has the teenager been exposed to allergens recently?,"[{'next_q_id': 119, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 116, 'opt_value': 'No', 'option_id': 2}]",,,,,,
39,NEW,Does the female teenager have a persistent dry cough?,"[{'next_q_id': 40, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 41, 'opt_value': 'No', 'option_id': 2}]",,,,,,
40,NEW,Does the female teenager experience fatigue along with the cough?,"[{'next_q_id': 117, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 41, 'opt_value': 'No', 'option_id': 2}]",,,,,,
41,NEW,Does the female teenager have a history of allergies?,"[{'next_q_id': 121, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 116, 'opt_value': 'No', 'option_id': 2}]",,,,,,
115,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
116,DIAGNOSIS,Diagnosis: Bronchitis,[],['Stay hydrated'],"{'description': 'Inflammation of the bronchial tubes causing cough.', 'diagnosis_title': 'Bronchitis'}",['Chest X-ray'],['Persistent fever'],['Avoid smoking exposure'],['Cough suppressants']
117,DIAGNOSIS,Diagnosis: Flu (Influenza),[],['Rest and hydration'],"{'description': 'Viral infection causing fever, cough, and body aches.', 'diagnosis_title': 'Flu (Influenza)'}",['Rapid flu test'],['Severe fatigue'],['Annual flu vaccine'],['Acetaminophen']
